2026-02-09 09:17:33 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,769,118 rows so far...
2026-02-09 09:17:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,819,118 rows so far...
2026-02-09 09:18:21 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,869,118 rows so far...
2026-02-09 09:18:54 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,919,118 rows so far...
2026-02-09 09:19:27 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 5,969,118 rows so far...
2026-02-09 09:20:00 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,019,118 rows so far...
2026-02-09 09:20:32 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,069,118 rows so far...
2026-02-09 09:21:05 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,119,118 rows so far...
2026-02-09 09:21:37 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,169,118 rows so far...
2026-02-09 09:22:11 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,219,118 rows so far...
2026-02-09 09:22:42 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,269,118 rows so far...
2026-02-09 09:23:14 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,319,118 rows so far...
2026-02-09 09:23:32 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,369,118 rows so far...
2026-02-09 09:23:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,419,118 rows so far...
2026-02-09 09:24:08 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,469,118 rows so far...
2026-02-09 09:24:26 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,519,118 rows so far...
2026-02-09 09:24:47 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,569,118 rows so far...
2026-02-09 09:25:06 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,619,118 rows so far...
2026-02-09 09:25:25 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,669,118 rows so far...
2026-02-09 09:25:44 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,719,118 rows so far...
2026-02-09 09:26:02 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,769,118 rows so far...
2026-02-09 09:26:20 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,819,118 rows so far...
2026-02-09 09:26:39 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,869,118 rows so far...
2026-02-09 09:26:58 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,919,118 rows so far...
2026-02-09 09:27:16 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 6,969,118 rows so far...
2026-02-09 09:27:34 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 7,019,118 rows so far...
2026-02-09 09:27:52 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 7,069,118 rows so far...
2026-02-09 09:28:11 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 7,119,118 rows so far...
2026-02-09 09:28:30 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 7,169,118 rows so far...
2026-02-09 09:28:55 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 7,219,118 rows so far...
